"Case Number","Description","Date, Time","Weekday","Time","Crime Type","Police Beat","Zip Code","Address","Latitude","Longitude","Accuracy","URL"
156067728,"MALICIOUS MISCHIEF, VANDALISM","2015-03-17 23:58:00",Tuesday,"23:58",VANDALISM,,,,37.802732,-122.424998,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-03-17/Vandalism/9372751"
150239765,"POSSESSION OF METH-AMPHETAMINE (ARREST, BOOKED)","2015-03-17 23:51:00",Tuesday,"23:51",NARCOTICS,,,,37.765718,-122.40953,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-03-17/Narcotics/9372752"
150239806,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","2015-03-17 23:30:00",Tuesday,"23:30",VANDALISM,,,,37.764531,-122.395812,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-03-17/Vandalism/9372755"
150239806,"GRAND THEFT FROM LOCKED AUTO","2015-03-17 23:30:00",Tuesday,"23:30",THEFT,,,,37.764531,-122.395812,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-03-17/Theft/9372754"
156066162,"GRAND THEFT FROM LOCKED AUTO","2015-03-17 23:30:00",Tuesday,"23:30",THEFT,,,,37.753327,-122.443311,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-03-17/Theft/9372753"
150242069,"GRAND THEFT FROM A BUILDING","2015-03-17 23:15:00",Tuesday,"23:15",THEFT,,,,37.764221,-122.419658,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-03-17/Theft/9372756"
156067411,"GRAND THEFT FROM LOCKED AUTO","2015-03-17 23:00:00",Tuesday,"23:00",THEFT,,,,37.787049,-122.388334,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-03-17/Theft/9372757"
150240201,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","2015-03-17 22:40:00",Tuesday,"22:40",VANDALISM,,,,37.778615,-122.447539,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-03-17/Vandalism/9372758"
150239599,"AGGRAVATED ASSAULT WITH A DEADLY WEAPON","2015-03-17 22:36:00",Tuesday,"22:36","SIMPLE ASSAULT",,,,37.742375,-122.421971,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-03-17/Simple_Assault/9372759"
150239919,"MALICIOUS MISCHIEF, VANDALISM","2015-03-17 22:35:00",Tuesday,"22:35",VANDALISM,,,,37.801161,-122.444869,Unknown,"http://sanfrancisco.crimespotting.org/crime/2015-03-17/Vandalism/9372760"
