category,closing_1,closing_2,id,latitude,longitude,name,opening_1,opening_2,price_range,rating,reviews,url
active,1:00 PM,0,arts-of-flesh-traci-joy-burleigh-san-francisco,37.735855,-122.417328,Arts Of Flesh - Traci Joy Burleigh,8:00 AM,0,None,5,12,http://www.yelp.com/biz/arts-of-flesh-traci-joy-burleigh-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,12:00 AM,0,cha-cha-cha-san-francisco,37.75971006,-122.4189119,Cha Cha Cha,4:00 PM,0,$$,3.5,1704,http://www.yelp.com/biz/cha-cha-cha-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,,,cirque-du-soleil-ovo-san-francisco-2,37.76480865,-122.3945999,Cirque Du Soleil - Ovo,,,None,4,123,http://www.yelp.com/biz/cirque-du-soleil-ovo-san-francisco-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,12:00 PM,0,uforia-studios-san-francisco-2,37.790351,-122.420005,Uforia Studios,8:30 AM,0,None,4.5,39,http://www.yelp.com/biz/uforia-studios-san-francisco-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,5:00 PM,0,vie-winery-san-francisco,37.8187454,-122.36904,VIE Winery,12:00 PM,0,$$,3.5,27,http://www.yelp.com/biz/vie-winery-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,11:00 PM,0,halu-san-francisco,37.78261878,-122.4664959,Halu,5:00 PM,0,$$,4,693,http://www.yelp.com/biz/halu-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,9:30 PM,0,sotto-mare-san-francisco,37.79962063,-122.4083698,Sotto Mare,11:30 AM,0,$$,4.5,2162,http://www.yelp.com/biz/sotto-mare-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,,,mission-playground-san-francisco,37.75937922,-122.4213659,Mission Playground,,,None,4.5,13,http://www.yelp.com/biz/mission-playground-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,,,san-francisco-international-dragon-boat-festival-san-francisco,37.823912,-122.370832,San Francisco International Dragon Boat Festival,,,None,4.5,24,http://www.yelp.com/biz/san-francisco-international-dragon-boat-festival-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,10:00 PM,0,brasserie-s-and-p-san-francisco,37.7925324,-122.4007072,Brasserie S&P,7:00 AM,0,$$$,3.5,41,http://www.yelp.com/biz/brasserie-s-and-p-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,12:00 AM,0,dasi-healing-san-francisco,37.77418518,-122.4491577,Dasi Healing,12:00 AM,0,None,5,3,http://www.yelp.com/biz/dasi-healing-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,12:00 AM,0,san-francisco-ballet-san-francisco,37.7787907,-122.4218039,San Francisco Ballet,12:00 AM,0,None,4.5,228,http://www.yelp.com/biz/san-francisco-ballet-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,2:00 AM,0,st-marys-pub-san-francisco,37.73549808,-122.4244994,St Marys Pub,12:00 PM,0,$,4,49,http://www.yelp.com/biz/st-marys-pub-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,2:00 AM,0,the-dubliner-san-francisco-5,37.7375818,-122.46962,The Dubliner,10:00 AM,0,$$,4,111,http://www.yelp.com/biz/the-dubliner-san-francisco-5?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,7:00 PM,0,mission-cliffs-climbing-and-fitness-san-francisco,37.76047513,-122.4125889,Mission Cliffs Climbing & Fitness,9:00 AM,0,None,4,419,http://www.yelp.com/biz/mission-cliffs-climbing-and-fitness-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,11:00 PM,0,the-lost-church-san-francisco,37.765781,-122.418411,The Lost Church,7:30 PM,0,$$,5,16,http://www.yelp.com/biz/the-lost-church-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,10:00 PM,0,macho-tequilas-homestyle-sparks,39.54719514,-119.7724611,Macho Tequila's Homestyle,10:00 AM,0,$$,4.5,162,http://www.yelp.com/biz/macho-tequilas-homestyle-sparks?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,7:00 PM,0,new-people-cinema-san-francisco,37.78575516,-122.4305954,New People Cinema,12:00 PM,0,None,4.5,32,http://www.yelp.com/biz/new-people-cinema-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
